pubchem_id,fema_flavor_profile
37109,Not Available
38679,Onion
41569,Meat
41570,Savory
42011,Fish
43046,Savory
43263,Fruit
43579,Savory
43598,Savory
47649,"Cooked Meat, Nut, Thiamin"
53654,Not Available
60968,Floral
60979,"Anise, Fennel"
60983,Dairy
60985,"Fruit, Rose"
60990,Green
60995,Floral
60997,Floral
60998,Honey
60999,Floral
61005,Fruit
61006,Fruit
61007,Floral
61010,Floral
61014,Floral
61015,Oil
61016,"Fruit, Green, Melon"
61020,"Almond, Roasted"
61024,Fruit
61027,Fruit
61030,Fruit
61031,Not Available
61035,Dairy
61040,"Citrus, Coriander"
61041,Herb
61045,Savory
61048,Fruit
61050,Floral
61051,Not Available
61052,Floral
61054,Fruit
61079,Not Available
61085,Fruit
61092,Fruit
61093,Floral
61096,Fruit
61098,Fruit
61124,Not Available
61126,Green
61130,"Mint, Cool"
61134,Floral
61135,Fruit
61137,Fruity
61138,Dairy
61151,Floral
61153,Not Available
61155,Floral
61156,Green
61159,Green
61166,"Floral, Spice"
61171,"Coffee, Fruit, Sulfur"
61177,Fruit
61183,Fruit
61184,"Fruit, Pungent"
61185,Floral
61192,Savory
61199,"Curry, Honey, Spice"
61200,Not Available
61202,Green
61204,Peach
61206,Fruit
61209,Not Available
61217,Not Available
61229,Floral
61235,Floral
61240,Savory
61243,Not Available
61252,Savory
61260,"Popcorn, Roast"
61261,Savory
61262,Floral
61270,Not Available
61275,"Flower, Oil"
61282,Savory
61284,Fruit
61290,Floral
61293,"Floral, Fresh, Fruit, Passion Fruit, Rubber"
61294,Fruit
61295,Savory
61296,Fruit
61302,Floral
61303,Green
61304,Fruit
61319,Fruit
61325,"Bread Crust, Butter, Caramel, Floral, Fruit"
61331,Floral
61334,Caramel
61337,Fruit
61341,Nuts
61342,Fruity
61346,"Earth, Mushroom"
61359,Green
61361,Green
61362,"Mint, Cool"
61367,Not Available
61375,Fruit
61384,Fruit
61385,Not Available
61386,Mouthfeel
61400,Savory
61401,Fruit
61402,Heat
61403,Green Leaf
61404,Dairy
61405,Pineapple
61406,Fruit
61407,"Apricot, Fruit, Peach, Pineapple"
61408,Nut
61410,Green
61412,Fruit
61415,Fruit
61416,"Herb, Honey, Rose, Warm"
61417,Fruit
61431,Floral
61434,Floral
61435,Floral
61446,Floral
61447,Fruit
61448,Fruit
61450,Fruit
61451,Green
61452,Fruit
61453,Green
61455,Fruit
61457,Fruit
61464,Green
61466,Fruit
61502,Savory
61516,Floral
61517,Green
61523,Floral
61524,Floral
61527,Savory
61585,Floral
61586,Not Available
61590,Savory
61592,Not Available
61633,Floral
61634,Savory
61641,"Cabbage, Garlic, Radish, Spice, Sulfur, Tropical Fruit"
61653,"Cocoa, Nut"
61656,Savory
61657,Savory
61658,Fruit
61659,Savory
61660,Roast
61661,Savory
61662,Savory
61663,Sulfur
61664,"Cabbage, Must, Onion"
61665,Floral
61670,Nuts
61700,Not Available
61712,Not Available
61715,Not Available
61738,Fruit
61743,Dairy
61746,Floral
