Recipe ID,Recipe Name,shared_molecule_Compound_ID,Compound_CAS_Number
R000003,Bangers and mash,918,107-87-9
R000003,Bangers and mash,920,2628-17-3
R000003,Bangers and mash,410,25152-84-5
R000003,Bangers and mash,413,557-48-2
R000003,Bangers and mash,926,108-50-9
R000003,Bangers and mash,927,83-34-1
R000003,Bangers and mash,419,64-17-5
R000003,Bangers and mash,424,3777-69-3
R000003,Bangers and mash,431,99999-08-0
R000003,Bangers and mash,434,115-95-7
R000003,Bangers and mash,435,36653-82-4
R000003,Bangers and mash,670,112-31-2
R000003,Bangers and mash,440,582-24-1
R000003,Bangers and mash,442,7212-44-4
R000003,Bangers and mash,671,64-19-7
R000003,Bangers and mash,445,123-15-9
R000003,Bangers and mash,958,123-72-8
R000003,Bangers and mash,460,97-61-0
R000003,Bangers and mash,466,108-39-4
R000003,Bangers and mash,980,6032-29-7
R000003,Bangers and mash,761,928-96-1
R000003,Bangers and mash,985,100-42-5
R000003,Bangers and mash,990,620-02-0
R000003,Bangers and mash,490,7783-06-04
R000003,Bangers and mash,1004,123-38-6
R000003,Bangers and mash,1012,99-87-6
R000003,Bangers and mash,1013,110-62-3
R000003,Bangers and mash,1015,106-25-2
R000003,Bangers and mash,1018,112-37-8
R000003,Bangers and mash,1023,623-36-9
R000004,Bubble and Squeak,519,93-58-3
R000004,Bubble and Squeak,524,124-07-2
R000004,Bubble and Squeak,1040,60-12-8
R000004,Bubble and Squeak,1046,513-86-0
R000004,Bubble and Squeak,1049,67-63-0
R000004,Bubble and Squeak,539,227456-28-2
R000004,Bubble and Squeak,602,470-82-6
R000004,Bubble and Squeak,1054,2463-63-0
R000004,Bubble and Squeak,37,122-00-9
R000004,Bubble and Squeak,550,13925-00-3
R000004,Bubble and Squeak,40,109-08-0
R000004,Bubble and Squeak,554,124-19-6
R000004,Bubble and Squeak,556,123-32-0
R000004,Bubble and Squeak,1069,515-00-4
R000004,Bubble and Squeak,56,123-92-2
R000004,Bubble and Squeak,1082,143-08-8
R000004,Bubble and Squeak,1091,93-89-0
R000004,Bubble and Squeak,1092,99-85-4
R000004,Bubble and Squeak,69,3301-94-8
R000004,Bubble and Squeak,586,78-70-6
R000004,Bubble and Squeak,1101,6789-88-4
R000004,Bubble and Squeak,1102,543-49-7
R000004,Bubble and Squeak,1104,90-05-1
R000004,Bubble and Squeak,595,111-13-7
R000004,Bubble and Squeak,599,75-18-3
R000004,Bubble and Squeak,600,71-23-8
R000004,Bubble and Squeak,90,89-78-1
R000004,Bubble and Squeak,606,103-45-7
R000004,Bubble and Squeak,107,1072-83-9
R000004,Bubble and Squeak,108,78-84-2
R000004,Bubble and Squeak,628,99-86-5
R000004,Bubble and Squeak,118,821-55-6
R000004,Bubble and Squeak,413,557-48-2
R000004,Bubble and Squeak,643,91-10-1
R000004,Bubble and Squeak,136,123-51-3
R000004,Bubble and Squeak,137,2396-78-3
R000004,Bubble and Squeak,143,35044-68-9
R000004,Bubble and Squeak,657,124-13-0
R000004,Bubble and Squeak,667,15707-23-0
R000004,Bubble and Squeak,670,112-31-2
R000004,Bubble and Squeak,159,6789-80-6
R000004,Bubble and Squeak,673,123-35-3
R000004,Bubble and Squeak,675,18409-17-1
R000004,Bubble and Squeak,165,97-53-0
R000004,Bubble and Squeak,166,112-30-1
R000004,Bubble and Squeak,174,623-42-7
R000004,Bubble and Squeak,177,127-91-3
R000004,Bubble and Squeak,703,98-01-1
R000004,Bubble and Squeak,704,10482-56-1
R000004,Bubble and Squeak,288,71-36-3
R000004,Bubble and Squeak,198,109-52-4
R000004,Bubble and Squeak,460,97-61-0
R000004,Bubble and Squeak,203,3391-86-4
R000004,Bubble and Squeak,204,106-44-5
R000004,Bubble and Squeak,719,79-09-4
R000004,Bubble and Squeak,211,13360-64-0
R000004,Bubble and Squeak,215,65-85-0
R000004,Bubble and Squeak,218,705-86-2
R000004,Bubble and Squeak,378,546-79-2
R000004,Bubble and Squeak,734,122-78-1
R000004,Bubble and Squeak,549,503-74-2
R000004,Bubble and Squeak,737,103-82-2
R000004,Bubble and Squeak,229,57-10-3
R000004,Bubble and Squeak,742,74-93-1
R000004,Bubble and Squeak,978,106-68-3
R000004,Bubble and Squeak,1064,108-95-2
R000004,Bubble and Squeak,243,142-62-1
R000004,Bubble and Squeak,756,589-98-0
R000004,Bubble and Squeak,249,110-86-1
R000004,Bubble and Squeak,764,96-17-3
R000004,Bubble and Squeak,299,112-05-0
R000004,Bubble and Squeak,772,590-86-3
R000004,Bubble and Squeak,273,80-26-2
R000004,Bubble and Squeak,786,616-25-1
R000004,Bubble and Squeak,275,143-07-7
R000004,Bubble and Squeak,793,99-83-2
R000004,Bubble and Squeak,282,121-33-5
