Recipe ID,Recipe Name,shared_molecule_Compound_ID
R0000096,Corned beef with parsley sauce,798
R0000096,Corned beef with parsley sauce,703
R0000097,Apple and butterscotch sponge pudding,384
R0000097,Apple and butterscotch sponge pudding,645
R0000097,Apple and butterscotch sponge pudding,586
R0000097,Apple and butterscotch sponge pudding,235
R0000097,Apple and butterscotch sponge pudding,556
R0000097,Apple and butterscotch sponge pudding,786
R0000097,Apple and butterscotch sponge pudding,338
R0000097,Apple and butterscotch sponge pudding,630
R0000097,Apple and butterscotch sponge pudding,761
R0000097,Apple and butterscotch sponge pudding,90
R0000097,Apple and butterscotch sponge pudding,798
R0000097,Apple and butterscotch sponge pudding,703
R0000098,Creamed spinach,645
R0000098,Creamed spinach,1401
R0000098,Creamed spinach,235
R0000098,Creamed spinach,556
R0000098,Creamed spinach,1070
R0000098,Creamed spinach,786
R0000098,Creamed spinach,761
R0000098,Creamed spinach,798
R0000099,Baked rice pudding,384
R0000099,Baked rice pudding,645
R0000099,Baked rice pudding,586
R0000099,Baked rice pudding,556
R0000099,Baked rice pudding,786
R0000099,Baked rice pudding,338
R0000099,Baked rice pudding,90
R0000099,Baked rice pudding,798
R0000099,Baked rice pudding,703
R00000100,Traditional shortbread,384
R00000100,Traditional shortbread,645
R00000100,Traditional shortbread,556
R00000100,Traditional shortbread,761
R00000100,Traditional shortbread,90
R00000100,Traditional shortbread,798
