Recipe ID,Recipe Name,shared_molecule_Compound_ID
R0000088,Colcannon,798
R0000088,Colcannon,703
R0000089,whole roasted pheasant,384
R0000089,whole roasted pheasant,645
R0000089,whole roasted pheasant,235
R0000089,whole roasted pheasant,556
R0000089,whole roasted pheasant,338
R0000089,whole roasted pheasant,761
R0000089,whole roasted pheasant,798
R0000089,whole roasted pheasant,703
R0000090,Beef & barley bun with horseradish,384
R0000090,Beef & barley bun with horseradish,645
R0000090,Beef & barley bun with horseradish,235
R0000090,Beef & barley bun with horseradish,556
R0000090,Beef & barley bun with horseradish,786
R0000090,Beef & barley bun with horseradish,338
R0000090,Beef & barley bun with horseradish,761
R0000090,Beef & barley bun with horseradish,798
R0000090,Beef & barley bun with horseradish,703
R0000091,Cock a Leekie Soup,384
R0000091,Cock a Leekie Soup,645
R0000091,Cock a Leekie Soup,235
R0000091,Cock a Leekie Soup,556
R0000091,Cock a Leekie Soup,338
R0000091,Cock a Leekie Soup,798
R0000091,Cock a Leekie Soup,703
R0000092,British roots,384
R0000092,British roots,645
R0000092,British roots,586
R0000092,British roots,235
R0000092,British roots,556
R0000092,British roots,786
R0000092,British roots,630
R0000092,British roots,761
R0000092,British roots,798
R0000092,British roots,703
R0000093,Posh beans toast,384
R0000093,Posh beans toast,34
R0000093,Posh beans toast,645
R0000093,Posh beans toast,586
R0000093,Posh beans toast,235
R0000093,Posh beans toast,556
R0000093,Posh beans toast,786
R0000093,Posh beans toast,338
R0000093,Posh beans toast,761
R0000093,Posh beans toast,798
R0000093,Posh beans toast,703
R0000094,"Sweet potato hash brown with tomato, bacon and egg",384
R0000094,"Sweet potato hash brown with tomato, bacon and egg",34
R0000094,"Sweet potato hash brown with tomato, bacon and egg",645
R0000094,"Sweet potato hash brown with tomato, bacon and egg",586
R0000094,"Sweet potato hash brown with tomato, bacon and egg",235
R0000094,"Sweet potato hash brown with tomato, bacon and egg",556
R0000094,"Sweet potato hash brown with tomato, bacon and egg",786
R0000094,"Sweet potato hash brown with tomato, bacon and egg",630
R0000094,"Sweet potato hash brown with tomato, bacon and egg",761
R0000094,"Sweet potato hash brown with tomato, bacon and egg",90
R0000094,"Sweet potato hash brown with tomato, bacon and egg",798
R0000094,"Sweet potato hash brown with tomato, bacon and egg",703
R0000095,Leek & potato soup with blue cheese toast,384
R0000095,Leek & potato soup with blue cheese toast,645
R0000095,Leek & potato soup with blue cheese toast,586
R0000095,Leek & potato soup with blue cheese toast,235
R0000095,Leek & potato soup with blue cheese toast,556
R0000095,Leek & potato soup with blue cheese toast,786
R0000095,Leek & potato soup with blue cheese toast,338
R0000095,Leek & potato soup with blue cheese toast,761
R0000095,Leek & potato soup with blue cheese toast,798
R0000095,Leek & potato soup with blue cheese toast,703
R0000096,Corned beef with parsley sauce,645
R0000096,Corned beef with parsley sauce,235
R0000096,Corned beef with parsley sauce,556
R0000096,Corned beef with parsley sauce,786
R0000096,Corned beef with parsley sauce,338
R0000096,Corned beef with parsley sauce,761
